Sample Name, Sample-6
Time, November 05 14:57:34 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
663.0, 0.0770, 83.75
664.0, 0.0770, 83.75
665.0, 0.0768, 83.79
666.0, 0.0768, 83.79
667.0, 0.0766, 83.84
668.0, 0.0766, 83.83
669.0, 0.0764, 83.87
670.0, 0.0763, 83.88
671.0, 0.0763, 83.89
672.0, 0.0760, 83.95
673.0, 0.0760, 83.95
674.0, 0.0758, 83.98
675.0, 0.0758, 83.99
676.0, 0.0757, 84.00
677.0, 0.0757, 84.01
678.0, 0.0755, 84.04
679.0, 0.0756, 84.03
680.0, 0.0755, 84.04
681.0, 0.0755, 84.04
682.0, 0.0753, 84.08
683.0, 0.0754, 84.07
684.0, 0.0753, 84.07
685.0, 0.0752, 84.11
686.0, 0.0750, 84.14
687.0, 0.0749, 84.17
688.0, 0.0748, 84.18
689.0, 0.0749, 84.16
690.0, 0.0747, 84.20
691.0, 0.0746, 84.23
692.0, 0.0746, 84.22
693.0, 0.0747, 84.20
694.0, 0.0745, 84.24
695.0, 0.0743, 84.27
696.0, 0.0742, 84.29
697.0, 0.0743, 84.28
698.0, 0.0740, 84.33
699.0, 0.0739, 84.36
700.0, 0.0738, 84.37
701.0, 0.0738, 84.37
702.0, 0.0738, 84.37
703.0, 0.0736, 84.41
704.0, 0.0735, 84.42
705.0, 0.0735, 84.42
706.0, 0.0735, 84.44
707.0, 0.0734, 84.45
708.0, 0.0734, 84.46
709.0, 0.0733, 84.48
710.0, 0.0733, 84.48
711.0, 0.0731, 84.51
712.0, 0.0729, 84.55
713.0, 0.0729, 84.55
714.0, 0.0728, 84.56
715.0, 0.0727, 84.58
716.0, 0.0727, 84.58
717.0, 0.0725, 84.63
718.0, 0.0726, 84.61
719.0, 0.0724, 84.64
720.0, 0.0725, 84.63
721.0, 0.0723, 84.66
722.0, 0.0722, 84.69
723.0, 0.0720, 84.73
724.0, 0.0720, 84.72
725.0, 0.0719, 84.74
726.0, 0.0719, 84.73
727.0, 0.0719, 84.74
728.0, 0.0719, 84.74
729.0, 0.0719, 84.74
730.0, 0.0717, 84.78
731.0, 0.0716, 84.80
732.0, 0.0715, 84.82
733.0, 0.0713, 84.85
734.0, 0.0714, 84.84
735.0, 0.0712, 84.89
736.0, 0.0712, 84.87
737.0, 0.0713, 84.86
738.0, 0.0712, 84.88
739.0, 0.0710, 84.92
740.0, 0.0711, 84.89
741.0, 0.0709, 84.93
742.0, 0.0708, 84.95
743.0, 0.0708, 84.95
744.0, 0.0709, 84.94
745.0, 0.0706, 84.99
746.0, 0.0705, 85.02
747.0, 0.0706, 85.00
748.0, 0.0704, 85.04
749.0, 0.0702, 85.08
750.0, 0.0703, 85.05
751.0, 0.0703, 85.06
752.0, 0.0702, 85.08
753.0, 0.0703, 85.05
754.0, 0.0699, 85.13
755.0, 0.0700, 85.12
756.0, 0.0700, 85.11
757.0, 0.0698, 85.16
758.0, 0.0698, 85.16
759.0, 0.0698, 85.16
760.0, 0.0698, 85.16
761.0, 0.0695, 85.22
762.0, 0.0694, 85.23
763.0, 0.0694, 85.23
764.0, 0.0693, 85.25
765.0, 0.0693, 85.26
766.0, 0.0693, 85.26
767.0, 0.0692, 85.28
768.0, 0.0690, 85.31
769.0, 0.0689, 85.32
770.0, 0.0688, 85.36
771.0, 0.0689, 85.34
772.0, 0.0690, 85.32
773.0, 0.0689, 85.33
774.0, 0.0689, 85.33
775.0, 0.0688, 85.34
776.0, 0.0687, 85.37
777.0, 0.0685, 85.40
778.0, 0.0682, 85.46
779.0, 0.0684, 85.44
780.0, 0.0685, 85.42
781.0, 0.0685, 85.42
782.0, 0.0686, 85.39
783.0, 0.0685, 85.41
784.0, 0.0684, 85.43
785.0, 0.0683, 85.45
786.0, 0.0682, 85.46
787.0, 0.0681, 85.50
788.0, 0.0680, 85.51
789.0, 0.0679, 85.52
790.0, 0.0678, 85.55
791.0, 0.0678, 85.55
792.0, 0.0678, 85.54
793.0, 0.0676, 85.59
794.0, 0.0675, 85.61
795.0, 0.0677, 85.57
796.0, 0.0674, 85.62
797.0, 0.0674, 85.63
798.0, 0.0674, 85.62
799.0, 0.0672, 85.66
800.0, 0.0675, 85.60
801.0, 0.0672, 85.66
802.0, 0.0673, 85.65
803.0, 0.0672, 85.66
804.0, 0.0672, 85.66
805.0, 0.0670, 85.70
806.0, 0.0668, 85.74
807.0, 0.0666, 85.77
808.0, 0.0667, 85.77
809.0, 0.0667, 85.76
810.0, 0.0668, 85.74
811.0, 0.0669, 85.72
812.0, 0.0666, 85.79
813.0, 0.0668, 85.74
814.0, 0.0665, 85.80
815.0, 0.0667, 85.77
816.0, 0.0664, 85.82
817.0, 0.0665, 85.81
818.0, 0.0664, 85.82
819.0, 0.0663, 85.85
820.0, 0.0663, 85.85
821.0, 0.0662, 85.85
822.0, 0.0662, 85.86
823.0, 0.0662, 85.85
824.0, 0.0658, 85.94
825.0, 0.0660, 85.91
826.0, 0.0661, 85.88
827.0, 0.0657, 85.95
828.0, 0.0659, 85.93
829.0, 0.0658, 85.94
830.0, 0.0657, 85.96
831.0, 0.0657, 85.96
832.0, 0.0657, 85.96
833.0, 0.0657, 85.96
