Sample Name, Eq3S1.sca
Time, October 29 15:21:45 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
557.0, 0.0078, 98.22
558.0, 0.0077, 98.25
559.0, 0.0077, 98.25
560.0, 0.0075, 98.29
561.0, 0.0076, 98.26
562.0, 0.0076, 98.27
563.0, 0.0073, 98.32
564.0, 0.0075, 98.28
565.0, 0.0076, 98.26
566.0, 0.0078, 98.21
567.0, 0.0077, 98.25
568.0, 0.0079, 98.19
569.0, 0.0078, 98.22
570.0, 0.0078, 98.21
571.0, 0.0082, 98.14
572.0, 0.0081, 98.16
573.0, 0.0079, 98.19
574.0, 0.0080, 98.18
575.0, 0.0081, 98.15
576.0, 0.0081, 98.15
577.0, 0.0081, 98.14
578.0, 0.0080, 98.17
579.0, 0.0080, 98.17
580.0, 0.0083, 98.11
581.0, 0.0081, 98.15
582.0, 0.0083, 98.11
583.0, 0.0077, 98.25
584.0, 0.0080, 98.17
585.0, 0.0079, 98.20
586.0, 0.0055, 98.74
587.0, 0.0056, 98.73
588.0, 0.0058, 98.67
589.0, 0.0055, 98.75
590.0, 0.0055, 98.75
591.0, 0.0055, 98.73
592.0, 0.0056, 98.72
593.0, 0.0055, 98.75
594.0, 0.0053, 98.79
595.0, 0.0049, 98.88
596.0, 0.0052, 98.80
597.0, 0.0051, 98.83
598.0, 0.0050, 98.85
599.0, 0.0054, 98.77
600.0, 0.0053, 98.80
601.0, 0.0054, 98.78
602.0, 0.0052, 98.82
603.0, 0.0054, 98.77
604.0, 0.0052, 98.82
605.0, 0.0053, 98.80
606.0, 0.0054, 98.77
607.0, 0.0056, 98.71
608.0, 0.0053, 98.78
609.0, 0.0054, 98.77
610.0, 0.0052, 98.81
611.0, 0.0052, 98.80
612.0, 0.0056, 98.72
613.0, 0.0053, 98.79
614.0, 0.0053, 98.78
615.0, 0.0055, 98.73
616.0, 0.0055, 98.74
617.0, 0.0059, 98.66
618.0, 0.0053, 98.78
619.0, 0.0055, 98.75
620.0, 0.0057, 98.69
621.0, 0.0054, 98.77
622.0, 0.0054, 98.76
623.0, 0.0056, 98.72
624.0, 0.0054, 98.76
625.0, 0.0053, 98.78
626.0, 0.0054, 98.75
627.0, 0.0053, 98.79
628.0, 0.0054, 98.77
629.0, 0.0053, 98.78
630.0, 0.0052, 98.82
631.0, 0.0053, 98.79
632.0, 0.0052, 98.81
633.0, 0.0052, 98.82
634.0, 0.0056, 98.71
635.0, 0.0053, 98.79
636.0, 0.0057, 98.69
637.0, 0.0054, 98.76
638.0, 0.0057, 98.70
639.0, 0.0057, 98.70
640.0, 0.0055, 98.73
641.0, 0.0055, 98.74
642.0, 0.0057, 98.68
643.0, 0.0053, 98.78
644.0, 0.0057, 98.69
645.0, 0.0055, 98.73
646.0, 0.0051, 98.83
647.0, 0.0052, 98.81
648.0, 0.0051, 98.83
649.0, 0.0055, 98.74
650.0, 0.0054, 98.77
651.0, 0.0053, 98.80
652.0, 0.0054, 98.77
653.0, 0.0054, 98.77
654.0, 0.0051, 98.82
655.0, 0.0054, 98.76
656.0, 0.0050, 98.86
657.0, 0.0046, 98.94
658.0, 0.0051, 98.84
659.0, 0.0050, 98.85
660.0, 0.0052, 98.82
661.0, 0.0051, 98.82
662.0, 0.0051, 98.83
663.0, 0.0051, 98.84
664.0, 0.0053, 98.80
665.0, 0.0051, 98.83
666.0, 0.0053, 98.78
667.0, 0.0052, 98.81
668.0, 0.0050, 98.86
669.0, 0.0052, 98.82
670.0, 0.0052, 98.81
671.0, 0.0050, 98.86
672.0, 0.0045, 98.97
673.0, 0.0049, 98.87
674.0, 0.0048, 98.89
675.0, 0.0051, 98.84
676.0, 0.0046, 98.94
677.0, 0.0047, 98.92
678.0, 0.0047, 98.93
679.0, 0.0047, 98.92
680.0, 0.0043, 99.01
681.0, 0.0043, 99.01
682.0, 0.0046, 98.95
683.0, 0.0045, 98.97
684.0, 0.0048, 98.89
685.0, 0.0045, 98.98
686.0, 0.0043, 99.01
687.0, 0.0045, 98.96
688.0, 0.0042, 99.04
689.0, 0.0043, 99.01
690.0, 0.0042, 99.04
691.0, 0.0046, 98.96
692.0, 0.0042, 99.05
693.0, 0.0043, 99.02
694.0, 0.0042, 99.05
695.0, 0.0041, 99.06
696.0, 0.0043, 99.03
697.0, 0.0042, 99.03
698.0, 0.0043, 99.01
699.0, 0.0041, 99.05
700.0, 0.0043, 99.02
701.0, 0.0042, 99.04
702.0, 0.0041, 99.06
703.0, 0.0040, 99.09
704.0, 0.0042, 99.04
705.0, 0.0041, 99.07
706.0, 0.0040, 99.08
707.0, 0.0039, 99.11
708.0, 0.0041, 99.07
709.0, 0.0040, 99.08
710.0, 0.0040, 99.08
711.0, 0.0041, 99.06
712.0, 0.0039, 99.10
