Sample Name, Equipo1S2.sca
Time, November 05 14:42:31 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
484.0, 0.0921, 80.88
485.0, 0.0924, 80.83
486.0, 0.0929, 80.74
487.0, 0.0934, 80.65
488.0, 0.0937, 80.59
489.0, 0.0942, 80.50
490.0, 0.0947, 80.40
491.0, 0.0958, 80.20
492.0, 0.0960, 80.17
493.0, 0.0963, 80.10
494.0, 0.0970, 79.98
495.0, 0.0976, 79.87
496.0, 0.0984, 79.72
497.0, 0.0989, 79.63
498.0, 0.0997, 79.49
499.0, 0.0997, 79.48
500.0, 0.1003, 79.37
501.0, 0.1011, 79.24
502.0, 0.1014, 79.17
503.0, 0.1019, 79.08
504.0, 0.1024, 78.99
505.0, 0.1029, 78.90
506.0, 0.1034, 78.82
507.0, 0.1040, 78.70
508.0, 0.1043, 78.65
509.0, 0.1049, 78.54
510.0, 0.1053, 78.47
511.0, 0.1058, 78.38
512.0, 0.1062, 78.31
513.0, 0.1068, 78.20
514.0, 0.1069, 78.18
515.0, 0.1074, 78.09
516.0, 0.1081, 77.96
517.0, 0.1084, 77.90
518.0, 0.1088, 77.83
519.0, 0.1091, 77.78
520.0, 0.1101, 77.61
521.0, 0.1106, 77.51
522.0, 0.1107, 77.50
523.0, 0.1111, 77.44
524.0, 0.1116, 77.34
525.0, 0.1118, 77.31
526.0, 0.1125, 77.18
527.0, 0.1130, 77.09
528.0, 0.1136, 76.98
529.0, 0.1139, 76.93
530.0, 0.1143, 76.86
531.0, 0.1147, 76.79
532.0, 0.1154, 76.66
533.0, 0.1155, 76.64
534.0, 0.1155, 76.65
535.0, 0.1161, 76.54
536.0, 0.1164, 76.48
537.0, 0.1172, 76.34
538.0, 0.1172, 76.36
539.0, 0.1177, 76.25
540.0, 0.1182, 76.18
541.0, 0.1184, 76.14
542.0, 0.1191, 76.02
543.0, 0.1193, 75.97
544.0, 0.1197, 75.92
545.0, 0.1203, 75.81
546.0, 0.1206, 75.75
547.0, 0.1208, 75.72
548.0, 0.1209, 75.70
549.0, 0.1213, 75.64
550.0, 0.1217, 75.56
551.0, 0.1221, 75.50
552.0, 0.1223, 75.46
553.0, 0.1226, 75.40
554.0, 0.1230, 75.34
555.0, 0.1232, 75.30
556.0, 0.1236, 75.23
557.0, 0.1237, 75.22
558.0, 0.1239, 75.19
559.0, 0.1243, 75.12
560.0, 0.1244, 75.09
561.0, 0.1249, 75.01
562.0, 0.1251, 74.97
563.0, 0.1251, 74.97
564.0, 0.1255, 74.90
565.0, 0.1259, 74.83
566.0, 0.1265, 74.73
